student_id,lecture_watch_pct,checklist_pct,attended_live_class,attended_group_discussion,qa_participation_pct,dropout,recommended_activities
S021,99,74,0,0,50,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S022,65,54,0,0,52,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S023,71,64,1,1,45,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S024,41,100,0,1,59,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S025,59,96,1,0,67,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S026,72,72,1,0,68,1,Join group discussions to improve collaboration and communication skills.
S027,46,65,1,0,25,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S028,77,67,1,1,42,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S029,57,76,0,1,79,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.
S030,64,46,1,1,72,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S031,57,60,1,0,15,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S032,100,34,1,1,58,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S033,69,72,1,1,0,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S034,48,76,0,0,51,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S035,86,56,1,1,97,0,Make sure to complete all checklist items to stay on track.
S036,45,93,1,0,26,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S037,74,42,1,1,29,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S038,30,38,1,1,69,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S039,43,69,1,1,11,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S040,73,83,1,0,34,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S041,84,95,1,1,64,1,"Good Job, You did Well in the Week. Keep the momentum"
S042,73,56,0,1,34,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S043,67,84,0,0,44,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S044,63,64,0,1,68,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S045,40,61,1,1,60,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S046,55,80,1,1,56,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S047,60,76,1,1,41,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S048,91,36,0,0,59,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S049,76,91,1,1,46,0,Participate more in Q&A to clarify doubts and boost retention.
S050,34,89,1,1,61,0,Increase your lecture video completion to at least 80% to strengthen understanding.
S051,76,53,1,1,37,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S052,62,72,1,0,45,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S053,56,73,1,1,25,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S054,82,69,1,1,49,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S055,90,55,0,1,29,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S056,88,52,1,1,22,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S057,53,64,1,1,56,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S058,63,86,1,1,55,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S059,76,74,1,0,69,0,Join group discussions to improve collaboration and communication skills.
S060,89,58,1,1,39,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S061,60,78,0,0,60,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S062,66,15,1,0,63,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S063,47,85,0,1,61,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.
S064,46,33,1,1,29,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S065,86,58,1,1,53,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S066,97,44,0,0,59,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S067,68,41,1,1,50,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S068,90,85,1,1,0,0,Participate more in Q&A to clarify doubts and boost retention.
S069,77,56,1,1,54,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S070,57,71,1,0,100,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S071,77,64,0,0,40,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S072,100,73,1,1,31,0,Participate more in Q&A to clarify doubts and boost retention.
S073,69,66,0,0,59,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S074,100,41,0,1,57,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S075,20,82,1,1,79,0,Increase your lecture video completion to at least 80% to strengthen understanding.
S076,86,56,0,0,18,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S077,71,36,1,1,68,0,Make sure to complete all checklist items to stay on track.
S078,64,57,0,1,64,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S079,71,92,1,1,46,0,Participate more in Q&A to clarify doubts and boost retention.
S080,30,80,1,0,58,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S081,65,58,1,0,75,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S082,77,58,1,0,71,1,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S083,99,59,1,0,21,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S084,59,100,0,1,70,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.
S085,53,71,1,1,48,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S086,59,72,1,1,51,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S087,88,83,0,1,51,1,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S088,76,69,1,1,46,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S089,59,60,0,0,79,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S090,80,61,0,1,47,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S091,71,63,0,1,22,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S092,89,64,0,1,40,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S093,55,78,1,1,54,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S094,63,65,1,0,80,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S095,62,78,0,1,65,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.
S096,40,63,1,1,28,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S097,75,66,1,0,100,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S098,75,29,1,1,56,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S099,70,81,0,1,81,0,Attend live classes to get real-time support and stay engaged.
S100,65,71,1,1,46,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S101,41,82,1,1,63,1,Increase your lecture video completion to at least 80% to strengthen understanding.
S102,61,15,1,0,70,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S103,63,100,1,0,80,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S104,53,62,1,1,76,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S105,66,84,1,0,71,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S106,78,46,1,1,42,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S107,100,76,0,1,35,0,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S108,73,46,1,1,58,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S109,75,53,0,1,73,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S110,68,99,0,1,44,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S111,31,61,1,0,76,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S112,69,68,1,0,86,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S113,71,80,1,1,27,0,Participate more in Q&A to clarify doubts and boost retention.
S114,100,73,0,1,29,0,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S115,66,67,1,1,46,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S116,76,71,1,1,57,0,Participate more in Q&A to clarify doubts and boost retention.
S117,69,100,1,1,36,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S118,46,63,1,1,83,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S119,92,68,1,0,60,1,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S120,85,83,1,1,50,0,Participate more in Q&A to clarify doubts and boost retention.
S121,85,84,0,1,14,0,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S122,51,86,1,1,17,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S123,98,76,1,1,57,1,Participate more in Q&A to clarify doubts and boost retention.
S124,41,44,1,1,0,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S125,81,94,0,0,75,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S126,100,44,1,1,46,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S127,50,70,0,0,100,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S128,58,51,1,1,100,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S129,71,63,1,1,45,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S130,59,70,1,1,47,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S131,38,70,1,0,74,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S132,71,72,1,1,92,0,"Good Job, You did Well in the Week. Keep the momentum"
S133,48,94,1,0,9,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S134,79,73,0,1,5,1,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S135,51,60,1,0,34,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S136,100,82,1,1,64,1,"Good Job, You did Well in the Week. Keep the momentum"
S137,54,86,1,0,62,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S138,63,42,1,1,76,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S139,86,75,1,0,20,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S140,45,77,1,1,0,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S141,74,59,1,1,71,1,Make sure to complete all checklist items to stay on track.
S142,96,89,1,1,29,0,Participate more in Q&A to clarify doubts and boost retention.
S143,37,62,1,0,0,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S144,73,67,1,1,53,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S145,75,61,1,0,69,1,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S146,85,65,1,1,46,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S147,45,45,0,1,38,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S148,43,39,1,1,46,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S149,80,93,1,0,40,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S150,75,49,1,0,16,1,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S151,75,47,0,0,32,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S152,76,26,0,1,63,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S153,56,53,1,0,58,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S154,74,41,0,0,54,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S155,75,94,1,1,25,0,Participate more in Q&A to clarify doubts and boost retention.
S156,55,83,1,0,45,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S157,100,52,0,0,0,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S158,79,100,0,0,54,0,Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S159,46,82,1,0,85,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.
S160,83,59,1,1,13,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S161,50,20,1,1,35,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S162,85,100,1,0,58,1,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S163,93,39,0,1,81,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S164,53,35,1,0,38,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S165,89,83,1,0,32,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S166,78,100,1,0,0,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S167,86,89,1,0,52,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S168,100,75,1,1,100,0,"Good Job, You did Well in the Week. Keep the momentum"
S169,65,75,1,1,56,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S170,54,80,0,1,49,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S171,52,78,0,1,58,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S172,53,70,1,1,49,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S173,68,66,0,1,29,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S174,76,63,0,0,70,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.
S175,75,51,0,0,55,0,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S176,86,59,1,1,50,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S177,70,34,1,1,25,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S178,99,63,1,0,82,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S179,64,47,1,1,66,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.
S180,100,45,1,1,36,1,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S181,82,68,1,1,75,0,Make sure to complete all checklist items to stay on track.
S182,52,90,1,1,37,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Participate more in Q&A to clarify doubts and boost retention.
S183,48,81,0,1,30,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S184,79,36,1,0,31,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S185,65,47,1,1,5,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S186,84,81,0,1,61,1,Attend live classes to get real-time support and stay engaged.
S187,79,47,0,1,4,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S188,68,60,0,1,19,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S189,53,74,0,0,0,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S190,39,47,1,0,47,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S191,61,66,0,0,46,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S192,87,40,1,1,41,0,Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S193,74,54,1,0,23,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S194,45,70,1,0,20,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S195,73,36,1,0,61,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.
S196,77,72,1,1,36,1,Participate more in Q&A to clarify doubts and boost retention.
S197,52,64,1,1,57,1,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
S198,73,74,0,1,27,0,Attend live classes to get real-time support and stay engaged.;Participate more in Q&A to clarify doubts and boost retention.
S199,71,69,1,0,54,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S200,47,89,1,1,82,0,Increase your lecture video completion to at least 80% to strengthen understanding.
S201,77,67,0,1,64,1,Make sure to complete all checklist items to stay on track.;Attend live classes to get real-time support and stay engaged.
S202,81,57,1,0,39,0,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S203,91,67,1,0,56,1,Make sure to complete all checklist items to stay on track.;Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S204,91,74,1,0,43,0,Join group discussions to improve collaboration and communication skills.;Participate more in Q&A to clarify doubts and boost retention.
S205,42,65,1,1,50,0,Increase your lecture video completion to at least 80% to strengthen understanding.;Make sure to complete all checklist items to stay on track.;Participate more in Q&A to clarify doubts and boost retention.
